Gene,MainType,Age,mean,std,count,percent_expressing
Srrm3,Neuroblasts,16.0,0.381,0.299,10,100.0
Srrm3,Neuroblasts,16.25,0.071,0.052,2,100.0
Srrm3,Neuroblasts,16.5,0.997,0.968,4,100.0
Srrm3,Neuroblasts,17.0,0.481,0.433,3,100.0
Srrm3,Neuroblasts,17.5,0.99,1.385,2,100.0
Srrm3,Neuroblasts,18.0,0.0,,1,0.0
Srrm3,Neurons,10.0,0.911,0.446,16,100.0
Srrm3,Neurons,11.0,0.606,0.271,19,100.0
Srrm3,Neurons,12.0,0.492,0.222,27,100.0
Srrm3,Neurons,12.5,0.678,0.348,33,100.0
Srrm3,Neurons,13.0,0.534,0.282,14,100.0
Srrm3,Neurons,13.5,0.679,0.426,13,100.0
Srrm3,Neurons,14.0,0.556,0.256,20,100.0
Srrm3,Neurons,14.5,0.847,0.366,13,100.0
Srrm3,Neurons,15.0,0.667,0.314,17,100.0
Srrm3,Neurons,15.5,0.798,0.344,10,100.0
Srrm3,Neurons,16.0,0.435,0.256,7,100.0
Srrm3,Neurons,16.25,0.557,0.138,7,100.0
Srrm3,Neurons,16.5,0.72,0.356,11,100.0
Srrm3,Neurons,17.0,0.566,0.148,5,100.0
Srrm3,Neurons,17.5,0.612,0.252,6,100.0
Srrm3,Neurons,18.0,0.779,0.354,5,100.0
Srrm3,OPCs,12.0,0.061,0.034,4,100.0
Srrm3,OPCs,12.5,0.049,,1,100.0
Srrm3,OPCs,13.0,0.114,,1,100.0
Srrm3,OPCs,13.5,0.124,0.138,2,100.0
Srrm3,OPCs,14.0,0.0,,1,0.0
Srrm3,OPCs,16.0,0.4,,1,100.0
Srrm3,Radial glia,8.0,0.003,,1,100.0
Srrm3,Radial glia,10.0,0.027,0.014,3,100.0
Srrm3,Radial glia,11.0,0.003,0.003,4,75.0
Srrm3,Radial glia,12.0,0.01,0.009,7,71.429
Srrm3,Radial glia,12.5,0.023,0.019,9,100.0
Srrm3,Radial glia,13.0,0.025,0.041,9,77.778
Srrm3,Radial glia,13.5,0.016,0.011,5,100.0
Srrm3,Radial glia,14.0,0.01,0.013,5,60.0
Srrm3,Radial glia,14.5,0.005,0.007,4,50.0
Srrm3,Radial glia,15.0,0.014,0.012,4,75.0
Srrm3,Radial glia,15.5,0.03,0.025,4,75.0
Srrm3,Radial glia,16.0,0.038,0.036,3,100.0
Srrm3,Radial glia,16.25,0.003,0.002,2,100.0
Srrm3,Radial glia,16.5,0.026,0.03,2,100.0
Srrm3,Radial glia,17.0,0.014,0.028,4,25.0
Srrm3,Radial glia,17.5,0.028,0.014,3,100.0
Srrm4,Glioblasts,11.0,0.084,0.042,4,100.0
Srrm4,Glioblasts,12.0,0.025,0.011,4,100.0
Srrm4,Glioblasts,12.5,0.062,0.019,2,100.0
Srrm4,Glioblasts,13.0,0.063,0.096,3,100.0
Srrm4,Glioblasts,14.0,0.015,0.004,2,100.0
Srrm4,Glioblasts,14.5,0.027,,1,100.0
Srrm4,Glioblasts,15.0,0.025,,1,100.0
Srrm4,Glioblasts,15.5,0.0,,1,0.0
Srrm4,Glioblasts,16.5,0.122,,1,100.0
Srrm4,Neuroblasts,8.5,4.679,1.864,4,100.0
Srrm4,Neuroblasts,9.0,2.96,2.198,3,100.0
Srrm4,Neuroblasts,10.0,2.529,1.42,9,100.0
Srrm4,Neuroblasts,11.0,3.664,2.258,8,100.0
Srrm4,Neuroblasts,12.0,3.064,2.436,5,100.0
Srrm4,Neuroblasts,12.5,2.54,1.037,20,100.0
Srrm4,Neuroblasts,13.0,2.31,1.303,17,100.0
Srrm4,Neuroblasts,13.5,1.824,0.786,7,100.0
Srrm4,Neuroblasts,14.0,2.75,1.26,4,100.0
Srrm4,Neuroblasts,14.5,2.645,1.673,10,100.0
Srrm4,Neuroblasts,15.0,2.502,0.874,8,100.0
Srrm4,Neuroblasts,15.5,2.443,0.615,8,100.0
Srrm4,Neuroblasts,16.0,2.963,1.747,10,100.0
Srrm4,Neuroblasts,16.25,2.955,0.574,2,100.0
Srrm4,Neuroblasts,16.5,3.505,2.827,4,100.0
Srrm4,Neuroblasts,17.0,2.822,1.403,3,100.0
Srrm4,Neuroblasts,17.5,2.412,0.509,2,100.0
Srrm4,Neuroblasts,18.0,0.182,,1,100.0
Srrm4,Neurons,10.0,1.288,0.549,16,100.0
Srrm4,Neurons,11.0,1.179,0.574,19,100.0
Srrm4,Neurons,12.0,1.098,0.582,27,100.0
Srrm4,Neurons,12.5,1.163,0.639,33,100.0
Srrm4,Neurons,13.0,1.1,0.658,14,100.0
Srrm4,Neurons,13.5,1.381,0.885,13,100.0
Srrm4,Neurons,14.0,1.452,0.862,20,100.0
Srrm4,Neurons,14.5,1.023,0.576,13,100.0
Srrm4,Neurons,15.0,1.166,0.658,17,100.0
Srrm4,Neurons,15.5,1.095,0.514,10,100.0
Srrm4,Neurons,16.0,1.055,0.568,7,100.0
Srrm4,Neurons,16.25,0.838,0.259,7,100.0
Srrm4,Neurons,16.5,1.095,0.393,11,100.0
Srrm4,Neurons,17.0,0.866,0.227,5,100.0
Srrm4,Neurons,17.5,1.145,0.672,6,100.0
Srrm4,Neurons,18.0,1.033,0.663,5,100.0
Srrm4,OPCs,12.0,0.076,0.051,4,100.0
Srrm4,OPCs,12.5,0.2,,1,100.0
Srrm4,OPCs,13.0,0.038,,1,100.0
Srrm4,OPCs,13.5,0.07,0.038,2,100.0
Srrm4,OPCs,14.0,0.1,,1,100.0
Srrm4,OPCs,16.0,1.4,,1,100.0
Srrm4,Radial glia,8.0,0.147,,1,100.0
Srrm4,Radial glia,10.0,0.169,0.164,3,100.0
Srrm4,Radial glia,11.0,0.103,0.044,4,100.0
Srrm4,Radial glia,12.0,0.219,0.188,7,100.0
Srrm4,Radial glia,12.5,0.281,0.19,9,100.0
Srrm4,Radial glia,13.0,0.257,0.205,9,100.0
Srrm4,Radial glia,13.5,0.326,0.143,5,100.0
Srrm4,Radial glia,14.0,0.32,0.389,5,100.0
Srrm4,Radial glia,14.5,0.073,0.096,4,75.0
Srrm4,Radial glia,15.0,0.347,0.342,4,100.0
Srrm4,Radial glia,15.5,0.381,0.34,4,100.0
Srrm4,Radial glia,16.0,0.458,0.297,3,100.0
Srrm4,Radial glia,16.25,0.152,0.093,2,100.0
Srrm4,Radial glia,16.5,0.532,0.567,2,100.0
Srrm4,Radial glia,17.0,0.217,0.085,4,100.0
Srrm4,Radial glia,17.5,0.264,0.184,3,100.0
Tubb3,Glioblasts,11.0,0.79,0.312,4,100.0
Tubb3,Glioblasts,12.0,0.658,0.31,4,100.0
Tubb3,Glioblasts,12.5,1.67,1.197,2,100.0
Tubb3,Glioblasts,13.0,1.208,1.135,3,100.0
Tubb3,Glioblasts,14.0,0.395,0.327,2,100.0
Tubb3,Glioblasts,14.5,0.348,,1,100.0
Tubb3,Glioblasts,15.0,0.884,,1,100.0
Tubb3,Glioblasts,15.5,0.603,,1,100.0
Tubb3,Glioblasts,16.5,1.197,,1,100.0
Tubb3,Neuroblasts,8.5,35.403,31.552,4,100.0
Tubb3,Neuroblasts,9.0,21.454,7.693,3,100.0
Tubb3,Neuroblasts,10.0,28.589,26.437,9,100.0
Tubb3,Neuroblasts,11.0,38.758,52.726,8,100.0
Tubb3,Neuroblasts,12.0,39.274,26.083,5,100.0
Tubb3,Neuroblasts,12.5,42.965,27.914,20,100.0
Tubb3,Neuroblasts,13.0,35.399,30.075,17,100.0
Tubb3,Neuroblasts,13.5,53.696,51.502,7,100.0
Tubb3,Neuroblasts,14.0,22.572,9.161,4,100.0
Tubb3,Neuroblasts,14.5,35.603,22.69,10,100.0
Tubb3,Neuroblasts,15.0,34.011,33.019,8,100.0
Tubb3,Neuroblasts,15.5,36.095,48.726,8,100.0
Tubb3,Neuroblasts,16.0,21.093,11.569,10,100.0
Tubb3,Neuroblasts,16.25,15.231,3.486,2,100.0
Tubb3,Neuroblasts,16.5,35.083,24.478,4,100.0
Tubb3,Neuroblasts,17.0,23.397,11.66,3,100.0
Tubb3,Neuroblasts,17.5,38.018,46.676,2,100.0
Tubb3,Neuroblasts,18.0,1.636,,1,100.0
Tubb3,Neurons,10.0,45.059,21.546,16,100.0
Tubb3,Neurons,11.0,32.407,13.161,19,100.0
Tubb3,Neurons,12.0,25.563,11.207,27,100.0
Tubb3,Neurons,12.5,35.062,14.145,33,100.0
Tubb3,Neurons,13.0,26.916,13.893,14,100.0
Tubb3,Neurons,13.5,32.273,19.702,13,100.0
Tubb3,Neurons,14.0,31.499,10.388,20,100.0
Tubb3,Neurons,14.5,36.865,23.238,13,100.0
Tubb3,Neurons,15.0,36.662,16.703,17,100.0
Tubb3,Neurons,15.5,33.302,10.508,10,100.0
Tubb3,Neurons,16.0,22.915,8.347,7,100.0
Tubb3,Neurons,16.25,30.419,9.105,7,100.0
Tubb3,Neurons,16.5,39.783,17.805,11,100.0
Tubb3,Neurons,17.0,33.939,10.964,5,100.0
Tubb3,Neurons,17.5,29.899,18.662,6,100.0
Tubb3,Neurons,18.0,37.19,14.933,5,100.0
Tubb3,OPCs,12.0,0.799,0.114,4,100.0
Tubb3,OPCs,12.5,1.142,,1,100.0
Tubb3,OPCs,13.0,1.0,,1,100.0
Tubb3,OPCs,13.5,0.752,0.113,2,100.0
Tubb3,OPCs,14.0,0.7,,1,100.0
Tubb3,OPCs,16.0,9.2,,1,100.0
Tubb3,Radial glia,8.0,1.709,,1,100.0
Tubb3,Radial glia,10.0,2.85,2.086,3,100.0
Tubb3,Radial glia,11.0,0.722,0.081,4,100.0
Tubb3,Radial glia,12.0,1.452,0.807,7,100.0
Tubb3,Radial glia,12.5,1.359,0.77,9,100.0
Tubb3,Radial glia,13.0,1.653,1.179,9,100.0
Tubb3,Radial glia,13.5,1.691,0.898,5,100.0
Tubb3,Radial glia,14.0,1.956,1.069,5,100.0
Tubb3,Radial glia,14.5,1.087,0.946,4,100.0
Tubb3,Radial glia,15.0,2.386,0.85,4,100.0
Tubb3,Radial glia,15.5,2.072,1.417,4,100.0
Tubb3,Radial glia,16.0,2.968,1.072,3,100.0
Tubb3,Radial glia,16.25,2.172,0.889,2,100.0
Tubb3,Radial glia,16.5,2.136,1.944,2,100.0
Tubb3,Radial glia,17.0,2.511,0.333,4,100.0
Tubb3,Radial glia,17.5,2.675,0.976,3,100.0
